Ri,OID,Enclosure,Nr 52.2 Locus,Nr 52.2,Nr 52.4 Locus,Nr 52.4,Nr 52.7 Locus,Nr 52.7,Nr 52.11 Locus,Nr 52.11,Nr 60.2 Locus,Nr 60.2,Nr 60.5 Locus,Nr 60.5,Nr 60.11 Locus,Nr 60.11,Nr 60.34 Locus,Nr 60.34
R321,O321,59_s,44,44,14,20,9,27,40,40,15,17,6,12,12,17,9,12
R322,O322,60D_e,40,45,20,24,19,27,44,44,15,18,5,17,16,23,27,27
R323,O323,60D_e,28,43,11,21,27,33,39,43,19,19,6,6,24,30,11,21
R324,O324,60D_e,36,36,23,24,7,25,43,48,16,31,12,14,11,17,10,14
R325,O325,60D_e,38,41,14,14,5,19,34,40,20,21,5,10,8,12,10,16
R326,O326,60D_e,36,41,21,25,4,23,39,43,13,17,2,14,11,11,10,22
R327,O327,60D_e,34,35,11,14,6,25,42,47,16,21,14,24,11,16,10,20
R328,O328,60D_e,36,41,1,1,23,25,39,42,17,19,2,14,8,12,18,29
R329,O329,60D_e,40,41,17,20,19,19,33,40,31,31,15,23,8,19,22,22
R330,O330,60D_e,52,63,20,25,17,29,40,40,13,20,12,12,10,17,10,10
R331,O331,60D_e,40,59,17,24,19,29,40,45,13,18,10,13,12,14,22,29
R332,O332,60D_e,40,46,20,24,17,27,40,44,13,18,5,5,12,17,43,44
R333,O333,60D_e,31,46,15,26,11,29,44,44,16,23,2,25,15,15,21,22
R334,O334,60D_e,37,42,17,24,17,19,40,46,23,28,10,10,9,17,43,44
R335,O335,60D_e,28,37,14,23,11,25,43,45,13,16,12,17,12,17,11,47
R336,O336,60D_e,36,38,23,24,9,29,40,40,17,18,10,20,5,7,7,9
R337,O337,60D_e,28,28,11,21,17,27,39,39,19,19,6,6,21,23,29,30
R338,O338,60D_n,25,36,22,26,9,9,40,40,14,16,4,13,8,17,22,22
R339,O339,60D_n,36,38,15,22,15,29,21,28,20,26,13,18,12,14,13,16
R340,O340,60D_n,37,46,11,24,11,17,44,45,18,24,10,13,12,19,28,30
R341,O341,60D_n,31,39,11,22,21,23,40,41,18,24,5,10,9,12,11,18
R342,O342,60D_n,29,29,11,26,23,25,40,47,13,16,2,13,19,27,2,45
R343,O343,60D_n,36,37,11,15,15,27,42,43,17,23,4,6,11,14,18,22
R344,O344,60D_n,25,46,19,24,11,17,48,63,18,21,6,13,9,19,14,14
R345,O345,60D_n,35,35,11,11,11,17,42,45,21,21,5,5,17,17,11,11
R346,O346,60D_n,38,48,15,26,17,17,41,42,16,26,13,25,12,27,45,46
R347,O347,60D_n,38,42,21,21,17,17,43,44,16,18,17,26,8,12,11,46
R348,O348,60D_n,37,46,11,24,11,17,45,64,13,16,10,13,12,19,31,32
R349,O349,60D_n,25,51,24,24,24,38,42,43,18,18,4,7,13,17,11,11
R350,O350,60D_s,31,36,11,21,9,23,21,28,13,15,5,15,11,16,11,11
R351,O351,60D_s,36,36,21,28,9,17,46,47,16,17,17,19,11,18,44,45
R352,O352,60D_s,25,42,11,19,17,21,39,42,21,33,16,27,8,11,24,30
R353,O353,60D_s,36,37,15,21,11,23,40,44,23,33,15,24,14,18,29,30
R354,O354,60D_s,26,27,5,14,13,17,36,50,17,21,5,5,14,14,26,32
R355,O355,60D_s,31,36,11,21,9,23,48,48,13,15,5,15,11,15,10,11
R356,O356,60D_s,40,43,19,26,17,17,41,45,13,13,5,14,8,21,11,11
R357,O357,60D_s,36,39,18,23,13,25,39,40,15,17,5,12,17,18,8,10
R358,O358,60D_s,42,46,11,15,19,19,40,40,13,19,6,17,24,36,10,10
R359,O359,60D_s,25,37,11,20,9,17,42,42,21,33,15,19,8,11,14,23
R360,O360,60D_s,30,40,15,28,11,13,25,39,26,27,12,14,12,14,11,11
R361,O361,60D_s,35,39,11,15,13,17,41,42,16,22,12,12,8,19,27,37
R362,O362,60D_s,29,37,11,21,15,25,26,39,12,16,6,12,6,14,27,31
R363,O363,60D_s,38,40,22,22,9,25,4,51,20,21,10,22,11,21,11,11
R364,O364,60D_s,38,42,11,20,9,17,63,64,17,21,5,14,8,27,23,23
R365,O365,60D_s,29,36,15,26,13,21,41,41,15,29,18,19,11,17,27,45
R366,O366,60D_s,36,37,11,29,9,23,39,41,15,15,2,14,9,13,24,26
R367,O367,61A_e,31,42,11,24,13,27,32,40,15,16,17,23,13,14,27,27
R368,O368,61A_e,40,41,22,22,17,37,44,45,15,16,10,15,13,14,17,17
R369,O369,61A_e,37,42,21,27,23,38,49,49,15,15,2,10,8,12,14,30
R370,O370,61A_e,51,67,11,23,15,15,25,38,15,23,7,27,12,17,7,8
R371,O371,61A_e,31,42,11,23,13,27,32,38,15,20,17,23,13,16,17,27
R372,O372,61A_e,31,41,11,22,27,37,39,39,15,15,15,23,13,14,27,27
R373,O373,61A_e,31,31,17,24,13,27,32,37,15,20,12,12,12,12,18,28
R374,O374,61A_e,35,44,20,25,15,31,32,46,15,16,7,17,14,17,56,57
R375,O375,61A_e,32,42,12,19,13,27,32,37,25,26,23,23,12,13,27,28
R376,O376,61A_e,44,45,19,22,17,37,44,70,26,37,10,15,14,24,17,17
R377,O377,61A_e,35,44,20,25,13,13,72,73,23,24,10,27,14,14,20,57
R378,O378,61A_n,31,53,11,25,5,29,43,45,21,27,13,17,13,23,12,12
R379,O379,61A_n,29,38,18,20,19,27,44,44,15,39,14,17,8,18,46,47
R380,O380,61A_n,31,41,21,28,19,23,46,54,15,17,7,10,12,12,10,12
R381,O381,61A_n,40,46,18,21,21,25,33,39,17,18,5,20,8,8,5,30
R382,O382,61A_n,31,40,20,24,7,23,42,55,24,38,2,12,7,12,10,12
R383,O383,61A_n,31,31,17,21,19,19,45,54,17,26,7,15,13,13,10,10
R384,O384,61A_n,31,39,20,24,7,27,53,54,13,24,2,18,7,17,27,30
R385,O385,61A_n,39,42,20,21,19,19,46,54,17,27,10,11,12,17,18,18
R386,O386,61A_n,28,29,20,21,19,27,36,54,15,27,10,18,12,17,8,10
R387,O387,61A_n,41,42,18,25,13,19,38,47,15,16,12,14,12,18,23,23
R388,O388,61A_n,38,42,11,27,19,23,40,44,16,16,5,10,11,12,23,28
R389,O389,61A_n,33,33,11,27,23,35,38,42,13,22,2,18,8,18,45,46
R390,O390,61A_n,39,40,11,20,6,27,37,55,16,17,2,18,12,18,27,30
R391,O391,61A_n,39,42,11,26,13,23,67,67,16,20,4,6,11,15,11,11
R392,O392,61A_n,41,46,26,27,27,37,38,42,21,22,12,21,8,12,29,45
R393,O393,61A_n,38,40,20,22,19,23,42,46,26,39,12,15,12,13,29,30
R394,O394,61A_s,36,46,17,22,17,17,38,38,17,21,12,13,12,17,23,30
R395,O395,61A_s,32,43,22,24,19,23,44,44,21,24,10,13,2,9,26,27
R396,O396,61A_s,41,46,22,25,17,23,38,41,16,18,13,21,10,17,9,9
R397,O397,61A_s,35,41,22,25,11,15,41,44,15,16,5,14,8,13,12,12
R398,O398,61A_s,40,41,21,24,15,23,40,41,16,17,10,17,10,14,10,20
R399,O399,61A_s,32,45,22,22,13,17,42,44,9,14,2,13,8,18,10,19
R400,O400,61A_s,29,41,22,26,21,23,38,38,16,19,6,23,8,16,10,17
R401,O401,61A_s,30,31,24,28,9,23,45,50,13,16,10,31,12,12,11,11
R402,O402,61A_s,35,41,17,25,7,17,41,47,13,17,12,13,8,16,12,13
R403,O403,61A_s,39,43,24,26,7,23,38,43,26,26,23,23,12,17,26,27
R404,O404,61A_s,22,36,21,24,25,25,42,43,19,31,2,14,8,17,29,30
R405,O405,61A_s,41,46,21,27,17,23,54,91,19,24,12,21,8,12,30,30
R406,O406,61A_s,29,33,20,22,13,33,38,44,16,19,12,17,17,24,26,26
R407,O407,61A_s,43,45,22,22,7,7,38,42,16,22,21,21,8,13,10,10
R408,O408,61B_e,30,30,11,22,9,29,40,40,15,17,2,6,10,16,10,10
R409,O409,61B_e,33,40,11,24,13,35,35,38,12,19,16,19,8,10,16,17
R410,O410,61B_e,30,30,21,29,17,19,49,49,15,16,16,25,20,22,17,32
R411,O411,61B_e,30,31,21,21,19,29,40,41,18,23,24,24,21,21,11,20
R412,O412,61B_e,30,44,17,29,7,9,7,42,15,15,25,25,14,19,11,17
R413,O413,61B_e,30,33,11,24,13,29,35,40,15,19,25,34,8,15,20,22
R414,O414,61B_e,30,43,19,23,9,29,41,41,17,19,10,34,12,16,10,10
R415,O415,61B_e,30,43,23,26,19,29,41,47,12,17,6,6,8,16,10,10
R416,O416,61B_n,40,42,11,17,23,25,38,45,12,24,13,13,12,23,9,9
R417,O417,61B_n,29,42,19,24,9,23,45,49,13,16,5,12,11,14,11,11
R418,O418,61B_n,31,42,11,22,23,23,41,47,13,16,7,10,8,8,7,10
R419,O419,61B_n,31,39,11,26,7,13,35,38,14,15,10,14,13,18,18,22
R420,O420,61B_n,31,39,11,21,15,19,37,42,13,16,10,11,10,10,8,8
R421,O421,61B_n,31,38,11,17,11,23,36,38,17,32,9,10,18,23,35,36
R422,O422,61B_n,41,42,24,25,13,23,40,41,16,21,7,10,8,17,7,10
R423,O423,61B_n,30,31,8,11,19,23,40,45,12,19,12,15,10,17,10,10
R424,O424,61B_n,38,41,17,25,7,19,40,40,13,24,7,10,8,9,11,11
R425,O425,61B_n,40,41,8,11,17,25,42,42,17,17,10,23,9,12,10,24
R426,O426,61B_n,40,41,19,20,17,25,41,45,17,17,10,13,12,14,31,32
R427,O427,61B_n,31,33,21,26,9,23,38,45,13,19,5,10,8,8,11,11
R428,O428,61B_n,29,41,25,25,9,23,35,41,15,24,10,13,10,18,18,18
R429,O429,61B_n,7,7,17,17,19,21,54,56,9,15,10,14,12,20,9,10
R430,O430,61B_n,42,58,16,19,9,17,40,48,23,28,10,13,13,13,21,22
R431,O431,61B_n,40,43,18,25,7,27,44,49,15,18,6,10,9,20,21,27
R432,O432,61B_n,40,47,11,23,9,23,38,43,13,24,5,10,12,14,11,12
R433,O433,61B_n,26,43,19,25,9,14,41,41,16,17,1,1,9,17,33,35
R434,O434,61B_n,31,42,20,26,18,24,37,41,16,16,11,14,8,8,14,14
R435,O435,61B_n,36,37,20,20,11,19,22,23,16,21,7,10,8,9,11,11
R436,O436,61B_n,29,41,11,19,13,15,35,37,14,14,4,10,7,14,31,33
R437,O437,61B_s,44,46,14,24,15,19,43,43,15,24,12,21,8,17,32,33
R438,O438,61B_s,40,47,11,25,11,19,39,45,17,22,19,31,15,21,11,11
R439,O439,61B_s,35,36,11,21,9,17,41,41,16,20,17,17,17,17,19,20
R440,O440,61B_s,31,39,21,24,13,17,41,42,16,34,12,17,8,16,18,18
R441,O441,61B_s,31,43,18,21,19,21,42,43,16,17,10,12,12,16,10,10
R442,O442,61B_s,42,47,11,20,5,13,25,41,16,18,12,17,11,19,10,13
R443,O443,61B_s,24,24,14,23,13,20,42,46,16,17,10,17,16,16,10,22
R444,O444,61B_s,37,39,11,11,13,19,42,42,15,16,12,12,17,18,32,33
R445,O445,61B_s,39,40,11,20,13,15,40,40,16,20,10,12,17,17,11,17
R446,O446,61B_s,31,38,11,18,17,33,44,44,13,15,10,17,12,14,19,19
R447,O447,61B_s,38,40,20,28,24,25,40,41,20,20,13,13,16,16,29,29
R448,O448,61B_s,37,38,11,23,19,19,41,41,16,16,12,18,12,12,57,58
R449,O449,61B_s,41,42,11,11,13,19,39,39,16,18,10,12,11,15,10,12
R450,O450,61B_s,38,40,20,28,25,33,40,42,16,21,13,17,16,16,30,30
R451,O451,61B_s,47,48,11,14,5,25,40,42,16,16,10,12,11,15,32,36
R452,O452,61B_s,37,44,14,22,9,19,48,48,16,24,10,11,8,11,18,18
R453,O453,61B_s,42,43,17,25,13,13,34,48,27,27,3,5,12,17,29,29
R454,O454,61B_s,43,48,14,20,5,19,38,44,26,27,7,12,16,19,22,22
R455,O455,61B_s,45,46,11,20,5,25,41,41,16,18,17,24,6,11,11,11
R456,O456,61B_s,31,46,13,20,13,13,34,41,16,29,10,13,15,19,40,40
R457,O457,61B_s,36,48,11,11,3,7,40,40,16,17,12,17,11,17,27,27
R458,O458,61B_s,43,46,17,26,13,13,34,34,17,25,10,12,15,17,38,41
R459,O459,61B_s,47,48,11,20,1,7,40,46,16,23,24,24,17,19,23,25
R460,O460,61B_s,38,42,20,21,13,33,33,33,19,19,12,17,11,12,25,25
R461,O461,61B_s,38,48,20,22,5,9,61,62,16,18,17,21,11,17,12,12
R462,O462,61B_s,37,38,18,21,9,33,62,68,15,16,10,17,12,18,11,11
R463,O463,61B_s,36,42,11,11,5,17,42,44,18,18,17,17,16,18,20,20
